tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.9296,0.9963,0.9970
0.9296,1.0000,0.9167,0.9334
0.9963,0.9167,1.0000,0.9979
0.9970,0.9334,0.9979,1.0000
