tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.9858,0.9969,0.9965
0.9858,1.0000,0.9820,0.9845
0.9969,0.9820,1.0000,0.9976
0.9965,0.9845,0.9976,1.0000
