tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.9272,0.9873,0.9936
0.9272,1.0000,0.9207,0.9504
0.9873,0.9207,1.0000,0.9785
0.9936,0.9504,0.9785,1.0000
