tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.1299,0.2810,0.3363
0.1299,1.0000,0.1530,0.1126
0.2810,0.1530,1.0000,0.1626
0.3363,0.1126,0.1626,1.0000
