tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.1420,0.2996,0.4093
0.1420,1.0000,0.4315,0.2549
0.2996,0.4315,1.0000,0.3063
0.4093,0.2549,0.3063,1.0000
