tenant-a,tenant-b,tenant-c,tenant-d
1.0000,0.4363,0.5561,0.2255
0.4363,1.0000,0.4046,0.4312
0.5561,0.4046,1.0000,0.4251
0.2255,0.4312,0.4251,1.0000
