,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,-6.459467027631361,7.085393161914672e-10,True,0.7026237953077208,medium,593217.2482045577,15.000008757211939
1 - Baseline_vs_3 - Recovery,-4.512637717400802,1.0145923893294805e-05,True,0.424112675582907,small,428787.9861199646,10.842273326093293
2 - Attack_vs_3 - Recovery,4.007587040164423,8.882655819972993e-05,True,0.46271974452952697,small,-164429.26208459307,-3.615421838703037
