,value
count,188.0
mean,79470221.61702128
std,2672112.4573353855
min,61087744.0
25%,79364096.0
50%,80029696.0
75%,80795648.0
max,83750912.0
skewness,-2.887980699775211
kurtosis,12.66091616268278
median,80029696.0
iqr,1431552.0
cv,0.03362407204817786
