,value
count,93.0
mean,48216735.640581004
std,7658982.472355916
min,28869811.41457124
25%,42754707.37043531
50%,48809986.72916258
75%,53855155.94374295
max,66121984.59640166
skewness,-0.34871191673695845
kurtosis,-0.36134275627460033
median,48809986.72916258
iqr,11100448.57330764
cv,0.1588448983657415
