,value
count,246.0
mean,26571651.639836125
std,2369240.007865651
min,21069074.614591874
25%,25010823.20323362
50%,26823364.015086032
75%,27986773.040458985
max,32229653.15952901
skewness,-0.03999354547193308
kurtosis,-0.3244702842490952
median,26823364.015086032
iqr,2975949.8372253664
cv,0.08916419799489222
