,value
count,187.0
mean,1986529.9571967048
std,607288.8054102624
min,2949.744702271105
25%,1878449.8933131471
50%,2060931.003203198
75%,2221334.587315079
max,4141155.2249591225
skewness,-0.844446840955774
kurtosis,4.8171842815257
median,2060931.003203198
iqr,342884.6940019317
cv,0.30570332111539816
