,value
count,188.0
mean,1107375539.744681
std,616216572.3205634
min,17702912.0
25%,567073792.0
50%,1090859008.0
75%,1671528448.0
max,2163867648.0
skewness,0.08138513690252082
kurtosis,-1.2258628363248134
median,1090859008.0
iqr,1104454656.0
cv,0.5564657608950255
