,value
count,93.0
mean,27656406.20035957
std,2158842.213937153
min,22193136.226471085
25%,26186465.084319424
50%,27874880.636383872
75%,29319742.444101084
max,32391935.09792646
skewness,-0.14943530288440254
kurtosis,-0.3874836772917445
median,27874880.636383872
iqr,3133277.35978166
cv,0.07805939059099751
