,value
count,93.0
mean,79387747.09677419
std,2825350.724123052
min,68079616.0
25%,79482880.0
50%,80117760.0
75%,80703488.0
max,82296832.0
skewness,-2.2890250300263637
kurtosis,4.587232312509615
median,80117760.0
iqr,1220608.0
cv,0.035589254355321745
