,value
count,246.0
mean,79122133.90843804
std,10852464.103789944
min,53178352.99158628
25%,72706143.14140445
50%,79367423.40380347
75%,83732743.36974576
max,121305264.9076722
skewness,0.5785809010202454
kurtosis,2.0929740750665387
median,79367423.40380347
iqr,11026600.228341311
cv,0.13716091272700842
