,value
count,246.0
mean,2270893.487460167
std,183812.10384868522
min,1743776.7795465349
25%,2157351.4766966417
50%,2294965.8751892573
75%,2412801.0601825197
max,2612780.902531151
skewness,-0.6108142490588344
kurtosis,-0.0776147565395906
median,2294965.8751892573
iqr,255449.58348587807
cv,0.08094263551491619
