,value
count,246.0
mean,0.11807335698180112
std,0.019063508982657556
min,0.0664960682729322
25%,0.1086069848722521
50%,0.1202456400325486
75%,0.12592384670808016
max,0.2367683652108466
skewness,0.1401429362080823
kurtosis,6.330519846746286
median,0.1202456400325486
iqr,0.017316861835828062
cv,0.1614547893780631
