,value
count,246.0
mean,78140606.92913447
std,10811691.572268916
min,51433308.52321979
25%,72482553.04294562
50%,79089743.5553743
75%,83724756.17730792
max,110929294.13026214
skewness,0.015847007508334086
kurtosis,0.4822158201527702
median,79089743.5553743
iqr,11242203.134362295
cv,0.1383620117268095
