,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,-4.439171940941144,1.1562327700575714e-05,True,0.42458578825906396,small,276799193.7837744,24.995964227961352
1 - Baseline_vs_3 - Recovery,-1.34544303290175,0.180242627174135,False,0.17443241528231118,negligible,109964645.02951264,9.930203538256439
2 - Attack_vs_3 - Recovery,2.06482580889558,0.04045544016733665,True,0.2480338091428555,small,-166834548.75426173,-12.052997696972628
