,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,-1.4791022233583324,0.1401439433975103,False,0.15133486650422703,negligible,0.038552806229515735,1.4313164246565158
1 - Baseline_vs_3 - Recovery,-1.6209448308731924,0.10619946223066137,False,0.17484656611258628,negligible,0.047825283921315354,1.7755676197192791
2 - Attack_vs_3 - Recovery,-0.40210540043588594,0.6880736677847439,False,0.04657517989600712,negligible,0.009272477691799619,0.33939340156200576
