,value
count,93.0
mean,192094.803263856
std,14630.67036982539
min,153658.54407639065
25%,183312.33734448656
50%,193433.74341723503
75%,201526.344419619
max,225064.6487510621
skewness,-0.3498821079210703
kurtosis,0.06154597075995749
median,193433.74341723503
iqr,18214.007075132453
cv,0.07616380100470034
