,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,2.6440080131073658,0.008561035778180437,True,0.2639937445212198,small,-1417614.4705086648,-2.595554955915338
1 - Baseline_vs_3 - Recovery,-1.1779664079819514,0.23996797479890755,False,0.13448409503627673,negligible,739908.0959628373,1.3547210227821145
2 - Attack_vs_3 - Recovery,-3.954258677551862,0.00010947192820440063,True,0.45806539617111125,small,2157522.566471502,4.055539741445662
