,value
count,246.0
mean,79398245.98373984
std,2898624.138708204
min,68141056.0
25%,79626240.0
50%,80130048.0
75%,80665600.0
max,82882560.0
skewness,-2.611958884406437
kurtosis,6.283980732714671
median,80130048.0
iqr,1039360.0
cv,0.03650740772411799
