,value
count,246.0
mean,6.065040650406504
std,0.33172000483254827
min,6.0
25%,6.0
50%,6.0
75%,6.0
max,8.0
skewness,5.2294910794713205
kurtosis,26.503835626803404
median,6.0
iqr,0.0
cv,0.054693780957645356
