,value
count,93.0
mean,8088062.750330626
std,1257250.614171378
min,5234829.309586533
25%,7400351.5340343155
50%,8151732.165558994
75%,8975859.323957158
max,11020330.766066944
skewness,-0.19072279818181936
kurtosis,-0.32828491943670457
median,8151732.165558994
iqr,1575507.7899228428
cv,0.15544521017965443
