,value
count,241.0
mean,1.149459303825651
std,0.7402743726879335
min,0.0
25%,0.2747067933556054
50%,1.1051551050389183
75%,1.7844680284603482
max,2.2721326287391763
skewness,-0.17313851352523443
kurtosis,-1.5211969197938606
median,1.1051551050389183
iqr,1.509761235104743
cv,0.6440196449096884
