,value
count,187.0
mean,105899230.00130011
std,13975038.054958321
min,32538145.21967088
25%,98087473.75318979
50%,109008629.72631748
75%,115397404.70409556
max,125443183.82615782
skewness,-1.7798964595828526
kurtosis,5.4594316615296865
median,109008629.72631748
iqr,17309930.95090577
cv,0.1319654359600797
