,value
count,246.0
mean,2271896.511678755
std,181654.77137615278
min,1731424.6894189282
25%,2152736.8199894596
50%,2294828.446548299
75%,2412692.1263891966
max,2610034.2200110606
skewness,-0.49587539756798776
kurtosis,-0.3083595843454092
median,2294828.446548299
iqr,259955.30639973702
cv,0.07995732659579817
