,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,6.834431588003229,9.208100420045327e-11,True,0.7475143090775614,medium,-1924.8316380719862,-18.16173319839112
1 - Baseline_vs_3 - Recovery,1.2833604757107075,0.20045369126072243,False,0.1284423285261415,negligible,-411.9941942961177,-3.887367854981384
2 - Attack_vs_3 - Recovery,-8.524439966208657,5.711022602889301e-14,True,1.280968363482072,large,1512.8374437758685,17.44216477361799
