PC1,PC2,PC3,PC4
-2.49,-0.81,0.00,-0.00
-2.43,-0.81,0.00,-0.00
-2.36,-0.82,0.00,-0.00
-2.31,-0.82,0.00,-0.00
-2.25,-0.83,0.00,-0.00
-2.20,-0.83,0.00,-0.00
-2.14,-0.84,0.00,-0.00
-2.09,-0.85,0.00,-0.00
-2.04,-0.85,0.00,-0.00
-1.98,-0.86,0.00,-0.00
-1.93,-0.86,0.00,-0.00
-1.88,-0.87,0.00,-0.00
-1.83,-0.87,0.00,-0.00
-1.78,-0.88,0.00,-0.00
-1.72,-0.89,0.00,-0.00
-1.66,-0.89,0.00,-0.00
-1.62,-0.89,0.00,-0.00
-1.56,-0.90,0.00,-0.00
-1.51,-0.91,0.00,-0.00
-1.46,-0.91,0.00,-0.00
-1.40,-0.92,0.00,-0.00
-1.35,-0.92,0.00,-0.00
-1.30,-0.93,0.00,-0.00
-1.25,-0.94,0.00,-0.00
-1.19,-0.94,0.00,-0.00
-1.14,-0.94,0.00,-0.00
-1.10,-0.95,0.00,-0.00
-1.04,-0.96,0.00,-0.00
-0.99,-0.96,0.00,-0.00
-0.94,-0.97,0.00,-0.00
-0.89,-0.97,0.00,-0.00
-0.84,-0.98,0.00,-0.00
-0.79,-0.98,0.00,-0.00
-0.73,-0.99,0.00,-0.00
-0.68,-0.99,0.00,-0.00
-0.62,-1.00,0.00,-0.00
-0.58,-1.00,0.00,-0.00
-0.53,-1.01,0.00,-0.00
-0.48,-1.01,0.00,0.00
-0.43,-1.03,0.00,-0.00
-0.37,-1.03,0.00,-0.00
-0.32,-1.03,0.00,0.00
-0.28,-1.04,0.00,-0.00
-0.22,-1.04,-0.00,0.00
-0.17,-1.05,0.00,-0.00
-0.12,-1.05,0.00,-0.00
-0.06,-1.06,0.00,0.00
-0.02,-1.06,0.00,-0.00
0.03,-1.07,-0.00,0.00
0.09,-1.08,-0.00,0.00
0.14,-1.09,-0.00,0.00
0.19,-1.09,-0.00,0.00
0.24,-1.09,0.00,-0.00
0.29,-1.10,-0.00,0.00
0.34,-1.10,-0.00,0.00
0.40,-1.11,-0.00,0.00
0.45,-1.11,-0.00,0.00
0.50,-1.12,-0.00,0.00
0.55,-1.12,-0.00,0.00
0.60,-1.13,-0.00,0.00
0.65,-1.14,-0.00,0.00
0.70,-1.14,-0.00,0.00
0.75,-1.14,-0.00,0.00
0.80,-1.15,-0.00,0.00
0.85,-1.16,0.00,-0.00
0.91,-1.16,-0.00,0.00
0.96,-1.17,-0.00,0.00
1.01,-1.17,-0.00,0.00
1.06,-1.18,-0.00,0.00
1.11,-1.18,-0.00,0.00
1.16,-1.19,-0.00,0.00
1.22,-1.20,-0.00,0.00
1.27,-1.20,-0.00,0.00
1.32,-1.20,-0.00,0.00
1.37,-1.21,-0.00,0.00
1.43,-1.22,-0.00,0.00
1.48,-1.22,-0.00,0.00
1.53,-1.23,-0.00,0.00
1.58,-1.23,-0.00,0.00
1.63,-1.24,-0.00,0.00
1.68,-1.25,-0.00,0.00
1.73,-1.25,-0.00,0.00
1.79,-1.25,-0.00,0.00
1.84,-1.26,-0.00,0.00
1.88,-1.27,-0.00,0.00
1.94,-1.27,-0.00,0.00
1.99,-1.28,-0.00,-0.00
2.04,-1.28,-0.00,0.00
2.09,-1.29,-0.00,0.00
2.14,-1.29,-0.00,0.00
2.19,-1.30,-0.00,0.00
2.25,-1.31,-0.00,0.00
2.30,-1.31,-0.00,0.00
-2.48,-0.72,0.00,-0.00
-2.42,-0.71,0.00,-0.00
-2.35,-0.71,0.00,-0.00
-2.29,-0.70,0.00,-0.00
-2.24,-0.71,0.00,-0.00
-2.38,0.23,0.00,-0.00
-2.30,0.38,0.00,-0.00
-2.21,0.64,0.00,-0.00
-2.11,1.05,0.00,-0.00
-2.05,1.04,0.00,-0.00
-1.99,1.11,0.00,-0.00
-2.10,-0.48,0.00,-0.00
-2.05,-0.48,0.00,-0.00
-1.99,-0.41,0.00,-0.00
-1.93,-0.41,0.00,-0.00
-1.84,-0.00,0.00,-0.00
-1.75,0.40,0.00,-0.00
-1.69,0.40,0.00,-0.00
-1.60,0.81,0.00,-0.00
-1.56,0.65,0.00,-0.00
-1.50,0.64,0.00,-0.00
-1.58,-0.52,0.00,-0.00
-1.47,-0.05,0.00,-0.00
-1.42,-0.06,0.00,-0.00
-1.34,0.28,0.00,-0.00
-1.25,0.59,0.00,-0.00
-1.19,0.58,0.00,-0.00
-1.20,0.04,0.00,-0.00
-1.25,-0.95,0.00,-0.00
-1.20,-0.96,0.00,-0.00
-1.12,-0.76,0.00,-0.00
-1.08,-0.76,0.00,-0.00
-0.98,-0.44,0.00,-0.00
-0.88,0.05,0.00,-0.00
-0.83,0.05,0.00,-0.00
-0.73,0.57,0.00,-0.00
-0.80,-0.64,0.00,-0.00
-0.75,-0.65,0.00,-0.00
-0.73,-0.96,0.00,-0.00
-0.63,-0.55,0.00,-0.00
-0.58,-0.56,0.00,-0.00
-0.49,-0.15,0.00,-0.00
-0.44,-0.15,0.00,-0.00
-0.34,0.26,0.00,-0.00
-0.27,0.46,0.00,-0.00
-0.22,0.45,0.00,-0.00
-0.32,-0.95,0.00,0.00
-0.25,-0.75,0.00,-0.00
-0.19,-0.76,-0.00,0.00
-0.10,-0.40,0.00,-0.00
-0.05,-0.41,0.00,-0.00
0.03,-0.14,0.00,0.00
0.12,0.27,0.00,-0.00
0.17,0.26,-0.00,0.00
0.21,0.05,-0.00,-0.00
