value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.04,-0.00,0.71,0.71
1.00,0.00,-0.03,-0.03
0.00,0.00,0.71,-0.71
-0.00,1.00,-0.00,0.00
