PC1,PC2,PC3,PC4
-2.63,-1.18,-0.00,-0.00
-2.59,-1.08,-0.00,-0.00
-2.46,-0.33,-0.00,-0.00
-2.35,0.25,-0.00,-0.00
-2.30,0.37,-0.00,0.00
-2.19,0.97,-0.00,0.00
-2.17,0.97,-0.00,0.00
-2.04,1.71,-0.00,0.00
-1.99,1.85,-0.00,0.00
-2.01,1.50,-0.00,0.00
-2.00,1.44,0.00,0.00
-1.96,1.55,-0.00,0.00
-1.99,1.11,-0.00,0.00
-1.92,1.43,-0.00,0.00
-1.96,0.99,0.00,0.00
-1.89,1.27,-0.00,0.00
-1.82,1.63,-0.00,0.00
-1.81,1.48,0.00,0.00
-1.73,1.86,-0.00,0.00
-1.75,1.56,-0.00,0.00
-1.75,1.29,-0.00,0.00
-1.71,1.44,-0.00,0.00
-1.76,0.86,-0.00,0.00
-1.70,1.08,-0.00,0.00
-1.64,1.33,-0.00,0.00
-1.71,0.69,-0.00,0.00
-1.62,1.11,-0.00,0.00
-1.49,1.81,-0.00,0.00
-1.54,1.28,-0.00,0.00
-1.48,1.52,-0.00,0.00
-1.46,1.47,-0.00,0.00
-1.48,1.14,-0.00,0.00
-1.42,1.36,-0.00,0.00
-1.38,1.48,-0.00,0.00
-1.40,1.12,-0.00,0.00
-1.37,1.14,-0.00,0.00
-1.36,1.06,-0.00,0.00
-1.27,1.49,-0.00,0.00
-1.22,1.65,-0.00,0.00
-1.26,1.20,-0.00,0.00
-1.22,1.25,-0.00,0.00
-1.18,1.38,-0.00,0.00
-1.21,0.95,-0.00,0.00
-1.16,1.17,-0.00,0.00
-1.10,1.42,-0.00,0.00
-1.09,1.28,-0.00,0.00
-1.05,1.34,-0.00,0.00
-1.06,1.10,-0.00,0.00
-0.98,1.47,-0.00,0.00
-0.93,1.67,-0.00,0.00
-0.95,1.34,-0.00,0.00
-0.99,0.81,-0.00,0.00
-0.90,1.29,0.00,0.00
-0.92,0.93,-0.00,0.00
-0.88,1.09,-0.00,0.00
-0.81,1.35,-0.00,0.00
-0.85,0.90,-0.00,0.00
-0.75,1.39,-0.00,0.00
-0.75,1.23,-0.00,0.00
-0.72,1.23,-0.00,0.00
-0.71,1.15,-0.00,0.00
-0.71,0.94,-0.00,0.00
-0.68,1.01,-0.00,0.00
-0.60,1.37,-0.00,0.00
-0.60,1.17,-0.00,0.00
-0.57,1.20,-0.00,0.00
-0.59,0.89,-0.00,0.00
-0.52,1.20,-0.00,0.00
-0.45,1.49,-0.00,0.00
-0.46,1.22,-0.00,0.00
-0.41,1.39,-0.00,0.00
-0.41,1.22,-0.00,0.00
-0.49,0.46,0.00,0.00
-0.38,1.06,-0.00,0.00
-0.32,1.23,-0.00,0.00
-0.36,0.78,-0.00,0.00
-0.28,1.17,-0.00,0.00
-0.30,0.85,-0.00,0.00
-0.20,1.33,0.00,0.00
-0.16,1.46,-0.00,0.00
-0.20,0.99,-0.00,0.00
