PC1,PC2,PC3,PC4
2.40,-0.50,0.00,0.00
2.45,-0.49,0.00,0.00
2.50,-0.49,0.00,0.00
-2.50,1.58,-0.00,-0.00
-2.39,1.15,-0.00,0.00
-2.36,1.48,-0.00,-0.00
-2.31,1.55,-0.00,-0.00
-2.21,1.19,-0.00,-0.00
-2.11,0.62,-0.00,-0.00
-2.05,0.62,-0.00,-0.00
-1.97,0.39,-0.00,-0.00
-1.90,0.16,-0.00,-0.00
-1.81,-0.26,0.00,-0.00
-1.70,-0.80,0.00,-0.00
-2.25,-0.95,0.00,-0.00
-2.19,-0.94,0.00,0.00
-2.12,-0.93,0.00,-0.00
-2.07,-0.93,0.00,-0.00
-2.01,-0.92,0.00,-0.00
-1.96,-0.92,0.00,-0.00
-1.91,-0.91,0.00,-0.00
-1.85,-0.91,0.00,-0.00
-1.80,-0.90,0.00,-0.00
-1.74,-0.90,0.00,-0.00
-1.70,-0.89,0.00,-0.00
-1.65,-0.89,0.00,-0.00
-1.59,-0.88,0.00,-0.00
-1.54,-0.88,0.00,-0.00
-1.49,-0.87,0.00,-0.00
-1.43,-0.87,0.00,-0.00
-1.38,-0.86,0.00,-0.00
-1.33,-0.86,0.00,-0.00
-1.28,-0.85,0.00,-0.00
-1.23,-0.85,0.00,-0.00
-1.17,-0.84,0.00,0.00
-1.12,-0.84,0.00,-0.00
-1.07,-0.83,0.00,-0.00
-1.02,-0.83,0.00,-0.00
-0.96,-0.82,0.00,-0.00
-0.91,-0.82,0.00,-0.00
-0.87,-0.81,0.00,-0.00
-0.81,-0.81,0.00,-0.00
-0.76,-0.80,0.00,-0.00
-0.71,-0.80,0.00,-0.00
-0.67,-0.79,0.00,-0.00
-0.61,-0.79,0.00,-0.00
-0.56,-0.78,0.00,-0.00
-0.50,-0.78,0.00,-0.00
-0.46,-0.77,0.00,-0.00
-0.40,-0.77,0.00,-0.00
-0.35,-0.76,0.00,-0.00
-0.30,-0.76,0.00,-0.00
-0.25,-0.75,0.00,0.00
-0.21,-0.75,0.00,-0.00
-0.15,-0.74,0.00,-0.00
-0.10,-0.74,0.00,0.00
-0.05,-0.73,0.00,-0.00
0.00,-0.73,0.00,0.00
0.05,-0.72,0.00,-0.00
0.10,-0.72,0.00,-0.00
0.16,-0.71,0.00,0.00
0.20,-0.71,0.00,-0.00
0.25,-0.70,0.00,0.00
0.31,-0.70,0.00,-0.00
0.36,-0.69,0.00,0.00
0.41,-0.69,0.00,0.00
0.45,-0.68,0.00,-0.00
0.51,-0.68,0.00,0.00
0.56,-0.67,0.00,-0.00
0.62,-0.67,0.00,0.00
0.66,-0.66,0.00,-0.00
0.71,-0.66,0.00,0.00
0.77,-0.65,0.00,0.00
0.82,-0.65,0.00,-0.00
0.86,-0.64,0.00,0.00
0.91,-0.64,0.00,0.00
0.96,-0.63,0.00,0.00
1.02,-0.63,0.00,0.00
1.07,-0.62,0.00,-0.00
1.12,-0.62,0.00,0.00
1.17,-0.61,0.00,0.00
1.22,-0.61,0.00,0.00
1.28,-0.60,0.00,-0.00
1.32,-0.60,0.00,0.00
1.37,-0.59,0.00,0.00
1.43,-0.59,0.00,0.00
1.48,-0.58,0.00,0.00
1.53,-0.58,0.00,0.00
1.58,-0.57,0.00,0.00
1.64,-0.57,0.00,0.00
1.69,-0.56,0.00,0.00
1.73,-0.56,0.00,0.00
1.79,-0.55,0.00,0.00
1.84,-0.55,0.00,0.00
1.89,-0.54,0.00,0.00
1.94,-0.54,0.00,0.00
1.99,-0.53,0.00,0.00
2.04,-0.53,0.00,-0.00
2.09,-0.52,0.00,-0.00
2.15,-0.52,0.00,0.00
2.19,-0.51,0.00,-0.00
2.24,-0.51,0.00,0.00
2.29,-0.51,0.00,0.00
2.35,-0.50,0.00,0.00
2.40,-0.50,0.00,0.00
2.45,-0.49,0.00,0.00
2.50,-0.49,0.00,0.00
-2.41,0.73,-0.00,-0.00
-2.34,0.63,-0.00,0.00
-2.26,0.48,-0.00,-0.00
-2.22,0.66,-0.00,-0.00
-2.15,0.50,-0.00,-0.00
-2.10,0.53,-0.00,-0.00
-2.06,0.65,-0.00,-0.00
-1.97,0.32,-0.00,-0.00
-1.97,0.82,-0.00,-0.00
-1.94,1.10,-0.00,-0.00
-1.87,0.89,-0.00,-0.00
-1.85,1.21,-0.00,-0.00
-1.81,1.38,-0.00,-0.00
-1.76,1.35,-0.00,-0.00
-1.72,1.56,-0.00,-0.00
-1.67,1.66,-0.00,-0.00
-1.61,1.47,-0.00,-0.00
-1.56,1.56,-0.00,-0.00
-1.51,1.50,-0.00,-0.00
-1.45,1.46,-0.00,-0.00
-1.45,1.98,-0.00,-0.00
-1.34,1.43,-0.00,-0.00
-1.29,1.50,-0.00,-0.00
-1.28,1.85,-0.00,-0.00
-1.19,1.48,-0.00,-0.00
-1.15,1.64,-0.00,-0.00
-1.11,1.70,-0.00,-0.00
-1.04,1.61,-0.00,-0.00
-0.99,1.53,-0.00,-0.00
-0.92,1.28,-0.00,-0.00
-0.88,1.47,-0.00,-0.00
-0.83,1.50,-0.00,-0.00
-0.76,1.31,-0.00,-0.00
-0.67,0.94,-0.00,-0.00
-0.68,1.59,-0.00,-0.00
-0.61,1.41,-0.00,-0.00
-0.58,1.58,-0.00,-0.00
-0.53,1.60,-0.00,-0.00
-0.45,1.30,-0.00,0.00
-0.46,1.91,-0.00,-0.00
-0.40,1.83,-0.00,-0.00
-0.32,1.51,-0.00,-0.00
-0.28,1.65,-0.00,-0.00
-0.19,1.31,-0.00,0.00
-0.17,1.60,-0.00,-0.00
-0.12,1.57,-0.00,-0.00
0.02,0.74,-0.00,-0.00
0.02,1.17,-0.00,-0.00
0.08,1.08,-0.00,0.00
0.12,1.26,-0.00,-0.00
0.13,1.61,-0.00,0.00
0.22,1.21,-0.00,-0.00
0.24,1.52,-0.00,-0.00
0.28,1.66,-0.00,0.00
0.34,1.56,-0.00,-0.00
0.41,1.48,-0.00,0.00
0.45,1.58,-0.00,-0.00
0.50,1.51,-0.00,0.00
0.58,1.25,-0.00,0.00
0.64,1.14,-0.00,-0.00
0.66,1.42,-0.00,0.00
0.69,1.64,-0.00,0.00
0.79,1.19,-0.00,0.00
0.80,1.63,-0.00,0.00
0.84,1.68,-0.00,-0.00
0.90,1.67,-0.00,-0.00
0.98,1.36,-0.00,0.00
1.01,1.51,-0.00,0.00
1.08,1.39,-0.00,-0.00
1.14,1.34,-0.00,0.00
1.18,1.42,-0.00,0.00
1.23,1.44,-0.00,-0.00
1.27,1.53,-0.00,0.00
1.34,1.37,-0.00,0.00
1.38,1.50,-0.00,0.00
1.42,1.64,-0.00,0.00
1.51,1.26,-0.00,0.00
1.53,1.53,-0.00,0.00
1.59,1.52,-0.00,0.00
1.68,1.11,-0.00,0.00
1.69,1.49,-0.00,0.00
1.74,1.47,-0.00,0.00
1.82,1.26,-0.00,0.00
1.86,1.29,-0.00,-0.00
1.95,0.90,-0.00,-0.00
1.95,1.47,-0.00,0.00
2.00,1.45,-0.00,-0.00
2.10,0.98,-0.00,0.00
2.12,1.21,-0.00,0.00
2.20,1.01,-0.00,0.00
2.20,1.55,-0.00,0.00
2.30,1.08,-0.00,-0.00
2.33,1.22,-0.00,0.00
