value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
-0.01,0.00,0.71,0.71
1.00,0.00,0.01,0.01
0.00,0.92,0.27,-0.27
0.00,-0.38,0.65,-0.65
