lval,op,rval,Estimate,Std. Err,z-value,p-value
experiment_elapsed_minutes,~,experiment_elapsed_seconds,1.13,60051.85,0.00,1.00
experiment_elapsed_seconds,~,experiment_elapsed_minutes,1.18,89192.67,0.00,1.00
experiment_elapsed_minutes,~~,experiment_elapsed_minutes,0.04,16388.16,0.00,1.00
experiment_elapsed_seconds,~~,experiment_elapsed_seconds,0.06,34421.19,0.00,1.00
