lval,op,rval,Estimate,Std. Err,z-value,p-value
experiment_elapsed_minutes,~,experiment_elapsed_seconds,1.20,235335.45,0.00,1.00
experiment_elapsed_seconds,~,experiment_elapsed_minutes,1.12,134400.23,0.00,1.00
experiment_elapsed_minutes,~~,experiment_elapsed_minutes,0.06,97592.41,0.00,1.00
experiment_elapsed_seconds,~~,experiment_elapsed_seconds,0.04,34128.24,0.00,1.00
