lval,op,rval,Estimate,Std. Err,z-value,p-value
experiment_elapsed_minutes,~,experiment_elapsed_seconds,1.04,7069.74,0.00,1.00
experiment_elapsed_seconds,~,experiment_elapsed_minutes,1.04,7069.88,0.00,1.00
experiment_elapsed_minutes,~~,experiment_elapsed_minutes,0.00,579.47,0.00,1.00
experiment_elapsed_seconds,~~,experiment_elapsed_seconds,0.00,577.82,0.00,1.00
