média,mediana,desvio_padrão,mínimo,máximo,contagem,experimento,round
61.36,48.55,70.77,0.00,220.11,114,base_experiment,round-1
62.58,49.22,71.58,0.00,206.96,117,base_experiment,round-2
16.41,4.10,23.40,0.00,66.99,117,base_experiment,round-3
65.06,50.30,73.29,0.00,219.59,222,comparison_exp_1,round-1
