tenant-a,tenant-b,tenant-c,tenant-d
0.0000,0.2071,0.1102,0.1264
0.2071,0.0000,0.2072,0.1834
0.1102,0.2072,0.0000,0.1109
0.1264,0.1834,0.1109,0.0000
