tenant-a,tenant-b,tenant-c,tenant-d
0.0000,0.0904,0.0799,0.0646
0.0904,0.0000,0.0754,0.0752
0.0799,0.0754,0.0000,0.0824
0.0646,0.0752,0.0824,0.0000
