Method,Component,Rank,Feature,Coefficient
PCA,PC1,1,experiment_elapsed_minutes,0.69
PCA,PC1,2,experiment_elapsed_seconds,0.69
PCA,PC1,3,value,-0.23
PCA,PC1,4,phase_number,-0.00
PCA,PC2,1,value,0.97
PCA,PC2,2,experiment_elapsed_seconds,0.16
PCA,PC2,3,experiment_elapsed_minutes,0.16
PCA,PC2,4,phase_number,-0.00
PCA,PC3,1,experiment_elapsed_minutes,-0.71
PCA,PC3,2,experiment_elapsed_seconds,0.71
PCA,PC3,3,phase_number,-0.00
PCA,PC3,4,value,-0.00
PCA,PC4,1,phase_number,1.00
PCA,PC4,2,experiment_elapsed_seconds,-0.00
PCA,PC4,3,value,0.00
PCA,PC4,4,experiment_elapsed_minutes,0.00
ICA,IC1,1,experiment_elapsed_minutes,-7774488136423846.00
ICA,IC1,2,experiment_elapsed_seconds,7774488136423846.00
ICA,IC1,3,phase_number,-424336.15
ICA,IC1,4,value,-0.04
ICA,IC2,1,experiment_elapsed_seconds,1044472596447363.62
ICA,IC2,2,experiment_elapsed_minutes,-1044472596447362.62
ICA,IC2,3,phase_number,-57007.93
ICA,IC2,4,value,0.20
ICA,IC3,1,experiment_elapsed_minutes,8592366947511898.00
ICA,IC3,2,experiment_elapsed_seconds,-8592366947511898.00
ICA,IC3,3,phase_number,468976.45
ICA,IC3,4,value,0.02
ICA,IC4,1,experiment_elapsed_seconds,20352552900241.25
ICA,IC4,2,experiment_elapsed_minutes,-20352552900241.21
ICA,IC4,3,phase_number,-1110.85
ICA,IC4,4,value,-0.99
