Method,Component,Rank,Feature,Coefficient
PCA,PC1,1,experiment_elapsed_minutes,0.71
PCA,PC1,2,experiment_elapsed_seconds,0.71
PCA,PC1,3,value,-0.01
PCA,PC1,4,phase_number,0.00
PCA,PC2,1,value,1.00
PCA,PC2,2,experiment_elapsed_minutes,0.01
PCA,PC2,3,experiment_elapsed_seconds,0.01
PCA,PC2,4,phase_number,0.00
PCA,PC3,1,phase_number,0.92
PCA,PC3,2,experiment_elapsed_seconds,0.27
PCA,PC3,3,experiment_elapsed_minutes,-0.27
PCA,PC3,4,value,0.00
PCA,PC4,1,experiment_elapsed_minutes,-0.65
PCA,PC4,2,experiment_elapsed_seconds,0.65
PCA,PC4,3,phase_number,-0.38
PCA,PC4,4,value,0.00
ICA,IC1,1,phase_number,4503861621980818.00
ICA,IC1,2,experiment_elapsed_seconds,0.50
ICA,IC1,3,experiment_elapsed_minutes,0.50
ICA,IC1,4,value,0.01
ICA,IC2,1,value,0.00
ICA,IC2,2,phase_number,0.00
ICA,IC2,3,experiment_elapsed_seconds,0.00
ICA,IC2,4,experiment_elapsed_minutes,0.00
ICA,IC3,1,value,0.00
ICA,IC3,2,phase_number,0.00
ICA,IC3,3,experiment_elapsed_seconds,0.00
ICA,IC3,4,experiment_elapsed_minutes,0.00
ICA,IC4,1,value,0.00
ICA,IC4,2,phase_number,0.00
ICA,IC4,3,experiment_elapsed_seconds,0.00
ICA,IC4,4,experiment_elapsed_minutes,0.00
