PC1,PC2,PC3,PC4
-2.42,-1.03,0.00,-0.00
-2.40,-1.03,0.00,-0.00
-2.39,-1.03,0.00,-0.00
-2.36,-1.02,0.00,-0.00
-2.34,-1.02,0.00,-0.00
-2.32,-1.02,0.00,-0.00
-2.30,-1.02,0.00,-0.00
-2.28,-1.02,0.00,-0.00
-2.26,-1.02,0.00,-0.00
-2.24,-1.02,0.00,-0.00
-2.22,-1.02,0.00,-0.00
-2.20,-1.02,0.00,-0.00
-2.18,-1.02,0.00,-0.00
-2.16,-1.02,0.00,-0.00
-2.14,-1.02,0.00,-0.00
-2.12,-1.02,0.00,-0.00
-2.10,-1.02,0.00,-0.00
-2.08,-1.01,0.00,-0.00
-2.06,-1.01,0.00,-0.00
-2.04,-1.01,0.00,-0.00
-2.02,-1.01,0.00,-0.00
-2.00,-1.01,0.00,-0.00
-1.98,-1.01,0.00,-0.00
-1.96,-1.01,0.00,-0.00
-1.94,-1.01,0.00,0.00
-1.92,-1.01,0.00,-0.00
-1.90,-1.01,0.00,-0.00
-1.88,-1.01,0.00,-0.00
-1.86,-1.01,0.00,-0.00
-1.84,-1.01,0.00,-0.00
-1.82,-1.01,0.00,-0.00
-1.80,-1.00,0.00,-0.00
-1.78,-1.00,0.00,-0.00
-1.76,-1.00,0.00,-0.00
-1.74,-1.00,0.00,-0.00
-1.72,-1.00,0.00,-0.00
-1.70,-1.00,0.00,-0.00
-1.68,-1.00,0.00,-0.00
-1.66,-1.00,0.00,-0.00
-1.64,-1.00,0.00,0.00
-1.62,-1.00,0.00,-0.00
-1.61,-1.00,0.00,-0.00
-1.58,-1.00,0.00,-0.00
-1.57,-1.00,0.00,-0.00
-1.55,-1.00,0.00,-0.00
-1.52,-0.99,0.00,-0.00
-1.51,-0.99,0.00,-0.00
-1.48,-0.99,0.00,-0.00
-1.46,-0.99,0.00,-0.00
-1.44,-0.99,0.00,0.00
-1.42,-0.99,0.00,-0.00
-1.40,-0.99,0.00,-0.00
-1.38,-0.99,0.00,-0.00
-1.36,-0.99,0.00,-0.00
-1.34,-0.99,0.00,-0.00
