,value
count,187.0
mean,30570.824112281298
std,10811.801077787033
min,9.396893552120035
25%,30536.678582648987
50%,34161.53212920686
75%,36585.89060211941
max,39884.83209408315
skewness,-2.1071910507641483
kurtosis,3.1691619798773107
median,34161.53212920686
iqr,6049.212019470426
cv,0.35366403725582196
