,value
count,11.0
mean,4.169279349734072e-06
std,1.9019301583962343e-06
min,4.122990035747953e-07
25%,3.1269296674e-06
50%,4.3971009755e-06
75%,5.6270825131e-06
max,6.9103437979e-06
skewness,-0.4213119242564038
kurtosis,-0.490019097121869
median,4.3971009755e-06
iqr,2.5001528457e-06
cv,0.4561771948712298
