,value
count,11.0
mean,6.129138013024811
std,3.127802191367494
min,0.6999595035611452
25%,4.090065829069787
50%,5.904093113396669
75%,9.048499064737928
max,9.528103741192592
skewness,-0.3907057654565737
kurtosis,-1.207379260891301
median,5.904093113396669
iqr,4.958433235668141
cv,0.510316815304324
