,value
count,93.0
mean,101481222.21380778
std,14001775.379322419
min,68928868.3426595
25%,90696446.24908105
50%,105509869.45242529
75%,112555831.20521024
max,123276316.26643927
skewness,-0.5326817128493891
kurtosis,-0.6936677709935277
median,105509869.45242529
iqr,21859384.956129193
cv,0.1379740514932161
