,value
count,93.0
mean,0.02972766040101364
std,0.013483821408287845
min,0.0114065747865637
25%,0.0167497188746797
50%,0.0305211660351428
75%,0.0459958798349519
max,0.050293949765037
skewness,0.29298466231158926
kurtosis,-1.46296855764432
median,0.0305211660351428
iqr,0.029246160960272202
cv,0.45357829127475097
