,value
count,11.0
mean,37857387.15693496
std,18760112.28290067
min,2044548.685845245
25%,27583085.10988045
50%,36021355.074628554
75%,53062560.48475763
max,59152292.03307588
skewness,-0.528177868610176
kurtosis,-0.7912611340924656
median,36021355.074628554
iqr,25479475.37487718
cv,0.49554693791021626
