,value
count,246.0
mean,37275467.69288106
std,4838309.273710474
min,25932629.33333333
25%,34469593.76661353
50%,36990926.527795896
75%,39318563.02661208
max,59695161.410757706
skewness,1.5421313583483947
kurtosis,5.0432003583404
median,36990926.527795896
iqr,4848969.2599985525
cv,0.12979875433285318
