,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,0.26798758833462244,0.7888413498447654,False,0.025679703605790912,negligible,-71975.63328143954,-0.09056931240018523
1 - Baseline_vs_3 - Recovery,0.23438757767570645,0.814958713319031,False,0.030281485747488655,negligible,-82474.52024708688,-0.10378040801816782
2 - Attack_vs_3 - Recovery,0.03030906005289304,0.9758561886242315,False,0.003646959092943283,negligible,-10498.88696564734,-0.013223071663065997
