,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,7.755372155600187,2.1335464229042852e-13,True,0.8180654534291137,large,-0.07244034592782311,-7.610403140553965
1 - Baseline_vs_3 - Recovery,0.34775610812454183,0.7282896973401767,False,0.03686003294420895,negligible,-0.003800266960664045,-0.39924662481868173
2 - Attack_vs_3 - Recovery,-8.918267268578365,1.5414076746024736e-15,True,1.1471027627767298,large,0.06864007896715907,7.805160711660801
