,value
count,5.0
mean,211537100.8
std,17738835.76764843
min,186576896.0
25%,200978432.0
50%,215064576.0
75%,227532800.0
max,227532800.0
skewness,-0.42555375255383043
kurtosis,-1.3220365410525765
median,215064576.0
iqr,26554368.0
cv,0.08385685395404846
