,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,-6.613884944749362,3.7947401066677826e-10,True,0.7327682620648088,medium,548518770.2944126,27.234912035089543
1 - Baseline_vs_3 - Recovery,-10.746603469852989,1.3157537945127205e-21,True,0.9725608817062352,large,909435081.2390757,45.15503530695317
2 - Attack_vs_3 - Recovery,-20.702459850359837,1.1692713935065336e-37,True,3.743207571333894,large,360916310.94466305,14.084281574322555
