,value
count,244.0
mean,3.543747886644672e-06
std,4.6301540167436826e-07
min,1.0608072744e-06
25%,3.3317368951e-06
50%,3.5751589153999997e-06
75%,3.7990703923e-06
max,5.0437350223e-06
skewness,-0.9750024017655786
kurtosis,4.646473557239499
median,3.5751589153999997e-06
iqr,4.6733349719999975e-07
cv,0.13065698138948742
