,value
count,244.0
mean,0.19340339268410903
std,0.1333905476526711
min,3.2270147697e-06
25%,0.03376530765616057
50%,0.22045641961992168
75%,0.32391484324775344
max,0.403737247196938
skewness,-0.19459712473995808
kurtosis,-1.5472772387784686
median,0.22045641961992168
iqr,0.29014953559159284
cv,0.6897011774273344
