,value
count,246.0
mean,26635765.517766915
std,2633379.2884228504
min,19205578.95417547
25%,24644133.417850673
50%,27158159.121923037
75%,28137517.90985764
max,32223879.67101615
skewness,-0.4014089102175017
kurtosis,-0.1681643244593367
median,27158159.121923037
iqr,3493384.492006965
cv,0.09886628888763499
