,value
count,246.0
mean,6230864.738683016
std,808966.5667653572
min,4322104.888888888
25%,5748135.998351109
50%,6195025.776237077
75%,6559497.169033898
max,10441329.520565666
skewness,1.4577253443887634
kurtosis,5.191231782477468
median,6195025.776237077
iqr,811361.1706827888
cv,0.12983215022195202
