,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,24.591020220756807,2.488506209319409e-77,True,2.4712427584705443,large,-53877426.96866885,-25.508725079328336
1 - Baseline_vs_3 - Recovery,2.042605608333894,0.042539098118404825,True,0.26049889743238946,small,-6516879.137657225,-3.0854717392940807
2 - Attack_vs_3 - Recovery,-16.386963554624554,8.639239792404295e-34,True,2.2571756644598597,large,47360547.83101162,30.10185201409635
