,component,metric,comparison,p_value,effect_size,effect_magnitude,percent_change
8,tenant-d,memory_usage,2 - Attack_vs_3 - Recovery,1.1692713935065336e-37,3.743207571333894,large,14.084281574322555
4,tenant-c,network_total_bandwidth,1 - Baseline_vs_2 - Attack,2.488506209319409e-77,2.4712427584705443,large,-25.508725079328336
5,tenant-c,network_total_bandwidth,2 - Attack_vs_3 - Recovery,8.639239792404295e-34,2.2571756644598597,large,30.10185201409635
11,tenant-d,disk_io_total,2 - Attack_vs_3 - Recovery,5.711022602889301e-14,1.280968363482072,large,17.44216477361799
0,tenant-b,memory_usage,2 - Attack_vs_3 - Recovery,1.6632609051554584e-46,1.1564359344780486,large,-93.12223850802312
1,tenant-b,disk_io_total,2 - Attack_vs_3 - Recovery,0.0313009370808204,1.1531058246475379,large,-26.094029060952188
3,tenant-c,cpu_usage,2 - Attack_vs_3 - Recovery,1.5414076746024736e-15,1.1471027627767298,large,7.805160711660801
7,tenant-d,memory_usage,1 - Baseline_vs_3 - Recovery,1.3157537945127205e-21,0.9725608817062352,large,45.15503530695317
2,tenant-c,cpu_usage,1 - Baseline_vs_2 - Attack,2.1335464229042852e-13,0.8180654534291137,large,-7.610403140553965
10,tenant-d,disk_io_total,1 - Baseline_vs_2 - Attack,9.208100420045327e-11,0.7475143090775614,medium,-18.16173319839112
6,tenant-d,memory_usage,1 - Baseline_vs_2 - Attack,3.7947401066677826e-10,0.7327682620648088,medium,27.234912035089543
9,tenant-d,network_total_bandwidth,1 - Baseline_vs_2 - Attack,7.085393161914672e-10,0.7026237953077208,medium,15.000008757211939
