,value
count,93.0
mean,10186.287462228272
std,1602.630414721495
min,6683.185415882694
25%,9140.277016668526
50%,10181.36226642595
75%,11338.749568503434
max,14495.38570575065
skewness,0.22580492782253672
kurtosis,-0.08993091705448641
median,10181.36226642595
iqr,2198.472551834908
cv,0.15733214094577655
