,value
count,246.0
mean,1746995604.4336503
std,519.1796962977332
min,1746994707.2610002
25%,1746995158.0755
50%,1746995605.8530002
75%,1746996052.294
max,1746996497.441
skewness,-0.00720888936397264
kurtosis,-1.1954377489829424
median,1746995605.8530002
iqr,894.2184998989105
cv,2.9718431745341653e-07
