,t_statistic,p_value,is_significant,effect_size,effect_magnitude,mean_difference,percent_change
1 - Baseline_vs_2 - Attack,0.9604778116795554,0.33778783050962846,False,0.10239158311408433,negligible,-0.024944048184636358,-1.2226113539431056
1 - Baseline_vs_3 - Recovery,-1.4942897820862135,0.1362465878493157,False,0.15051521127884424,negligible,0.04286627913998897,2.1010542951935474
2 - Attack_vs_3 - Recovery,-3.821929438735499,0.0001884176370076743,True,0.47069793716800895,small,0.06781032732462533,3.3648041264242616
