tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,187,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,5.56,31.86
tenant-c,187,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tenant-d,187,62.03,45.95,2.40,44.05,51.22,61.48,254.59,252.19,2.46,6.42
